Time;Channel B;Channel D
(ms);(V);(V)

-4,96506381;2,00079966;1,16387796
-4,96495981;2,00079966;1,19863439
-4,96485581;2,00079966;1,16387796
-4,96475181;2,00079966;1,16387796
-4,96464781;2,00079966;1,16387796
-4,96454381;2,00079966;1,14653051
-4,96443981;2,00079966;1,16387796
-4,96433581;2,00079966;1,16387796
-4,96423181;2,00079966;1,16387796
-4,96412781;2,00079966;1,16387796
-4,96402381;2,00079966;1,16387796
-4,96391981;2,00079966;1,16387796
-4,96381581;1,95727730;1,18128693
-4,96371181;2,00079966;1,18128693
-4,96360781;2,00079966;1,16387796
-4,96350381;2,00079966;1,16387796
-4,96339981;2,00079966;1,16387796
-4,96329581;2,00079966;1,18128693
-4,96319181;2,00079966;1,18128693
-4,96308781;2,00079966;1,16387796
-4,96298381;2,00079966;1,16387796
-4,96287981;2,00079966;1,18128693
-4,96277581;2,00079966;1,16387796
-4,96267181;2,00079966;1,16387796
-4,96256781;1,95727730;1,16387796
-4,96246381;1,95727730;1,18128693
-4,96235981;2,00079966;1,14653051
-4,96225581;2,00079966;1,14653051
-4,96215181;2,00079966;1,16387796
-4,96204781;2,04432201;1,16387796
-4,96194381;1,95727730;1,16387796
-4,96183981;2,04432201;1,16387796
-4,96173581;2,00079966;1,18128693
-4,96163181;2,00079966;1,16387796
-4,96152781;2,00079966;1,19863439
-4,96142381;2,04432201;1,18128693
-4,96131981;2,00079966;1,18128693
-4,96121581;2,00079966;1,18128693
-4,96111181;2,00079966;1,18128693
-4,96100781;2,00079966;1,16387796
-4,96090381;2,00079966;1,19863439
-4,96079981;2,04432201;1,18128693
-4,96069581;2,00079966;1,18128693
-4,96059181;2,04432201;1,16387796
-4,96048781;2,00079966;1,18128693
-4,96038381;2,00079966;1,18128693
-4,96027981;2,00079966;1,18128693
-4,96017581;2,00079966;1,19863439
-4,96007181;2,00079966;1,19863439
-4,95996781;2,04432201;1,16387796
-4,95986381;2,00079966;1,19863439
-4,95975981;2,00079966;1,19863439
-4,95965581;2,00079966;1,19863439
-4,95955181;2,04432201;1,19863439
-4,95944781;2,00079966;1,19863439
-4,95934381;2,04432201;1,18128693
-4,95923981;2,00079966;1,18128693
-4,95913581;2,00079966;1,19863439
-4,95903181;2,00079966;1,19863439
-4,95892781;2,00079966;1,18128693
-4,95882381;2,00079966;1,19863439
-4,95871981;2,00079966;1,19863439
-4,95861581;1,95727730;1,21598184
-4,95851181;2,04432201;1,19863439
-4,95840781;2,00079966;1,18128693
-4,95830381;2,00079966;1,19863439
-4,95819981;2,00079966;1,19863439
-4,95809581;2,04432201;1,19863439
-4,95799181;2,00079966;1,19863439
-4,95788781;2,04432201;1,21598184
-4,95778381;2,00079966;1,19863439
-4,95767981;2,00079966;1,18128693
-4,95757581;2,00079966;1,18128693
-4,95747181;2,00079966;1,21598184
-4,95736781;2,00079966;1,19863439
-4,95726381;2,00079966;1,19863439
-4,95715981;2,00079966;1,21598184
-4,95705581;2,04432201;1,19863439
-4,95695181;2,00079966;1,19863439
-4,95684781;2,00079966;1,21598184
-4,95674381;2,00079966;1,21598184
-4,95663981;2,00079966;1,21598184
-4,95653581;2,04432201;1,21598184
-4,95643181;2,00079966;1,23339069
-4,95632781;2,00079966;1,21598184
-4,95622381;2,00079966;1,21598184
-4,95611981;2,00079966;1,21598184
-4,95601581;2,00079966;1,21598184
-4,95591181;2,00079966;1,21598184
-4,95580781;2,00079966;1,21598184
-4,95570381;2,00079966;1,21598184
-4,95559981;2,00079966;1,21598184
-4,95549581;2,00079966;1,21598184
-4,95539181;2,00079966;1,21598184
-4,95528781;2,00079966;1,21598184
-4,95518381;2,00079966;1,19863439
-4,95507981;2,00079966;1,19863439
-4,95497581;2,00079966;1,21598184
-4,95487181;2,00079966;1,21598184
-4,95476781;2,00079966;1,19863439
-4,95466381;2,00079966;1,23339069
-4,95455981;2,00079966;1,19863439
-4,95445581;2,00079966;1,19863439
-4,95435181;2,00079966;1,21598184
-4,95424781;2,00079966;1,19863439
-4,95414381;2,00079966;1,19863439
-4,95403981;2,00079966;1,21598184
-4,95393581;2,00079966;1,19863439
-4,95383181;2,00079966;1,19863439
-4,95372781;2,00079966;1,19863439
-4,95362381;1,95727730;1,19863439
-4,95351981;2,04432201;1,19863439
-4,95341581;2,00079966;1,21598184
-4,95331181;2,00079966;1,21598184
-4,95320781;2,00079966;1,18128693
-4,95310381;2,00079966;1,19863439
-4,95299981;2,00079966;1,18128693
-4,95289581;2,00079966;1,18128693
-4,95279181;2,00079966;1,18128693
-4,95268781;2,00079966;1,16387796
-4,95258381;2,00079966;1,19863439
-4,95247981;2,00079966;1,18128693
-4,95237581;2,00079966;1,19863439
