std,mean,threshold,BER
0.5,0.4,0.4,0.39760576476057646
0.1,0,0.45,0.08691069375239556
0.1,0.1,0.45,0.038368475630833045
0.1,0.2,0.45,0.05701624815361891
0.1,0.3,0.45,0.19805982215036377
0.1,0.4,0.45,0.41096138739500876
0.2,0,0.45,0.2153178331450318
0.2,0.1,0.45,0.15689764050749183
0.2,0.2,0.45,0.18063747393506108
0.2,0.3,0.45,0.2669108524841968
0.2,0.4,0.45,0.3696331230477124
0.3,0,0.45,0.3030250548435516
0.3,0.1,0.45,0.2822865610395532
0.3,0.2,0.45,0.2595702207609206
0.3,0.3,0.45,0.3300918422474338
0.3,0.4,0.45,0.38716009468275503
0.4,0,0.45,0.36476235628778003
0.4,0.1,0.45,0.33982372256466387
0.4,0.2,0.45,0.36297315075046344
0.4,0.3,0.45,0.3764011088345185
0.4,0.4,0.45,0.39614689945815773
0.5,0,0.45,0.40576057605760574
0.5,0.1,0.45,0.3845799504807969
0.5,0.2,0.45,0.40299412085580943
0.5,0.3,0.45,0.4056284509885412
0.5,0.4,0.45,0.40225476522547654
0.1,0,0.5,0.09419317746262935
0.1,0.1,0.5,0.04228597764719438
0.1,0.2,0.5,0.06416543574593796
0.1,0.3,0.5,0.21243792585748933
0.1,0.4,0.5,0.4192398332225512
0.2,0,0.5,0.22411845156686686
0.2,0.1,0.5,0.16493484126528504
0.2,0.2,0.5,0.191003872505213
0.2,0.3,0.5,0.27890352690967096
0.2,0.4,0.5,0.3772279046977399
0.3,0,0.5,0.3089712504329754
0.3,0.1,0.5,0.29009460845776813
0.3,0.2,0.5,0.26914044152184124
0.3,0.3,0.5,0.33717510054625127
0.3,0.4,0.5,0.3930489001789735
0.4,0,0.5,0.37003674291809885
0.4,0.1,0.5,0.34644852814102195
0.4,0.2,0.5,0.3714644501584644
0.4,0.3,0.5,0.38140291671688564
